id,State,Blockname,TreatYear,Treatment,Dosage,DistanceKm,Acres,T,T1,T2,T3,T4,C,C1,C2,C3,C4
87,WI,Buffalo11,2017,MD,6g,34.4,9433,1,0.56,,,,0,1.07,,,
88,WI,Buffalo12,2017,MD,6g,18.9,7852,0.97,0.83,,,,0.10,0.58,,,
89,WI,Chippewa1,2017,Btk,24BIUx2,7,186,0.64,0.95,,,,1.61,0.23,,,
90,WI,Chippewa11,2017,MD,6g,4.4,17549,0.94,0.90,,,,0.13,0.23,,,
91,WI,Chippewa12,2017,MD,6g,3.5,8119,0.87,0.71,,,,0.34,0.80,,,
92,WI,Chippewa2,2017,Btk,24BIUx2,6.8,487,0.89,0.97,,,,1.11,0.32,,,
93,WI,Crawford1,2017,Btk,24BIUx2,-3.9,649,0.99,0.96,,,,0.11,0.49,,,
94,WI,Crawford11,2017,MD,6g,-2.9,2677,0.73,0.70,,,,0.38,0.42,,,
95,WI,Crawford2,2017,Btk,24BIUx2,8,738,0.95,0.95,,,,0.47,0.42,,,
96,WI,Douglas1,2017,Btk-MD,24BIUx1,13.1,1504,1,0.85,,,,0.01,0.35,,,
97,WI,Douglas11,2017,MD,6g,9.1,8946,0.87,0.86,,,,0.17,0.18,,,
98,WI,Douglas12,2017,MD,6g,14.5,29615,0.97,0.88,,,,0.04,0.19,,,
99,WI,Dunn1,2017,Btk,24BIUx2,38.2,453,1,0.13,,,,0,2.05,,,
100,WI,Dunn11,2017,MD,6g,20.2,9033,0.94,0.81,,,,0.27,0.79,,,
101,WI,Dunn12,2017,MD,6g,12.4,13987,0.93,0.85,,,,0.45,0.91,,,
102,WI,Dunn13,2017,MD,6g,37.8,4531,0.90,0.72,,,,0.52,1.50,,,
103,WI,Dunn14,2017,MD,6g,57.7,825,0.93,1,,,,0.55,0,,,
104,WI,Dunn2,2017,Btk,24BIUx2,24.9,273,0.93,1,,,,3.39,0.04,,,
105,WI,Dunn3,2017,Btk-MD,24BIUx1,20.7,1004,0.97,0.92,,,,0.18,0.53,,,
106,WI,Dunn4,2017,Btk-MD,24BIUx1,12.7,1854,0.97,0.98,,,,0.41,0.27,,,
107,WI,Eau Claire1,2017,Btk,24BIUx2,2.2,507,0.54,0.47,,,,0.62,0.73,,,
108,WI,EauClaire2,2017,Btk,24BIUx2,6.1,391,0.89,0.96,,,,0.49,0.18,,,
109,WI,Grant1,2017,Btk,24BIUx2,8.2,450,0.87,0.85,,,,0.26,0.30,,,
110,WI,Grant11,2017,MD,6g,23.2,2053,0.95,0.97,,,,0.13,0.08,,,
111,WI,Grant12,2017,MD,6g,21.5,5429,0.97,0.83,,,,0.07,0.39,,,
112,WI,Grant13,2017,MD,6g,11.1,13269,0.97,0.81,,,,0.06,0.37,,,
113,WI,Green1,2017,Btk,24BIUx2,-14.6,85,0.76,0.82,,,,0.92,0.70,,,
114,WI,Green2,2017,Btk,24BIUx2,-16.4,318,0.86,0.56,,,,0.32,0.97,,,
115,WI,Green3,2017,Btk,24BIUx2,-22.2,341,0.73,-0.05,,,,0.32,1.24,,,
116,WI,Lafayette1,2017,Btk,24BIUx2,-10.6,269,0.92,0.47,,,,0.16,1.07,,,
117,WI,Lafayette2,2017,Btk,24BIUx2,-12,523,0.82,0.57,,,,0.31,0.75,,,
118,WI,Lafayette3,2017,Btk,24BIUx2,0.2,108,0.70,0.65,,,,0.32,0.38,,,
119,WI,Pepin1,2017,Btk,24BIUx2,12.4,628,0.96,0.85,,,,0.20,0.67,,,
120,WI,Polk11,2017,MD,6g,83.6,1783,1,1,,,,0,,,,
121,WI,Richland1,2017,Btk,24BIUx2,-8.2,248,0.93,0.94,,,,0.36,0.29,,,
122,WI,Richland2,2017,Btk,24BIUx2,-17.5,329,0.88,0.58,,,,0.35,1.28,,,
123,WI,Richland3,2017,Btk,24BIUx2,-16,301,0.84,0.51,,,,0.34,1.03,,,
124,WI,Rusk1,2017,Btk,24BIUx2,14.3,185,-0.07,0.97,,,,4.56,0.12,,,
125,WI,Rusk11,2017,MD,6g,34.8,531,0.96,0.58,,,,0.18,2.04,,,
126,WI,Rusk12,2017,MD,6g,16.7,4718,0.75,0.97,,,,0.68,0.09,,,
127,WI,Rusk13,2017,MD,6g,21.2,7783,1,0.80,,,,0,1.26,,,
128,WI,Sawyer1,2017,Btk,24BIUx2,0.9,225,0.57,-0.01,,,,0.36,0.83,,,
129,WI,Sawyer2,2017,Btk,24BIUx2,-3.2,204,0.80,0.71,,,,0.30,0.42,,,
130,WI,StCroix11,2017,MD,6g,51.1,6178,0.94,0.80,,,,0.13,0.40,,,
131,WI,Trempealeau1,2017,Btk,24BIUx2,-17.5,747,0.54,-0.06,,,,0.30,0.68,,,
132,WI,Trempealeau2,2017,Btk,24BIUx2,-18.7,424,-0.65,-0.86,,,,0.78,0.88,,,
133,WI,Trempealeau3,2017,Btk,24BIUx2,-21.3,667,0.57,0.49,,,,0.85,1.01,,,
134,WI,Vernon1,2017,Btk,24BIUx2,3.9,685,0.95,0.80,,,,0.14,0.58,,,
135,WI,Vernon2,2017,Btk,24BIUx2,9.5,245,0.52,0.98,,,,2.80,0.10,,,
136,WI,Vernon3,2017,Btk,24BIUx2,-8.5,300,0.92,0.94,,,,0.28,0.19,,,
137,WI,Washburn1,2017,Btk,24BIUx2,37.4,431,1,0.98,,,,0,0.18,,,
